15	36	446	446	A2	9x9_10.txt
8	26	184	184	A2	5x5_3.txt
8	16	90	90	A2	5x5_1.txt
17	40	529	529	A2	9x9_2.txt
17	37	515	515	A2	9x9_3.txt
8	19	122	122	A2	5x5_4.txt
18	44	537	537	A2	9x9_7.txt
22	38	620	620	A2	9x9_6.txt
8	18	132	132	A2	5x5_5.txt
8	18	73	73	A2	5x5_7.txt
19	43	573	573	A2	9x9_4.txt
12	41	505	505	A2	9x9_5.txt
8	22	117	117	A2	5x5_6.txt
6	12	36	36	A2	3x3_10.txt
12	28	257	257	A2	7x7_6.txt
12	29	255	255	A2	7x7_7.txt
6	18	45	45	A2	3x3_9.txt
10	21	179	179	A2	7x7_5.txt
15	24	183	183	A2	7x7_4.txt
6	11	34	34	A2	3x3_8.txt
10	33	341	341	A2	7x7_1.txt
14	38	375	375	A2	7x7_3.txt
12	35	335	335	A2	7x7_2.txt
12	23	169	169	A2	5x5_10.txt
